device_name:device_id:cost
AirPods:AirPods1,1:200
Apple TV (2nd generation):AppleTV2,1:150
Apple TV (3rd generation):AppleTV3,1:200
Apple TV (3rd generation):AppleTV3,2:200
Apple TV (4th generation):AppleTV5,3:250
Apple TV 4K:AppleTV6,2:400
Apple Watch (1st generation):Watch1,1:100
Apple Watch (1st generation):Watch1,2:100
Apple Watch Series 1:Watch2,6:100
Apple Watch Series 1:Watch2,7:100
Apple Watch Series 2:Watch2,3:200
Apple Watch Series 2:Watch2,4:200
Apple Watch Series 3:Watch3,1:300
Apple Watch Series 3:Watch3,2:300
Apple Watch Series 3:Watch3,3:300
Apple Watch Series 3:Watch3,4:300
HomePod:AudioAccessory1,1:300
HomePod:AudioAccessory1,2:300
iPad:iPad1,1:250
iPad 2:iPad2,1:300
iPad 2:iPad2,2:300
iPad 2:iPad2,3:300
iPad 2:iPad2,4:300
iPad (3rd generation):iPad3,1:300
iPad (3rd generation):iPad3,2:300
iPad (3rd generation):iPad3,3:300
iPad (4th generation):iPad3,4:400
iPad (4th generation):iPad3,5:400
iPad (4th generation):iPad3,6:400
iPad Air:iPad4,:300
iPad Air:iPad4,2:300
iPad Air:iPad4,3:300
iPad Air 2:iPad5,3:300
iPad Air 2:iPad5,4:300
iPad Pro (12.9 inch):iPad6,7:800
iPad Pro (12.9 inch):iPad6,8:800
iPad Pro (9.7 inch):iPad6,3:600
iPad Pro (9.7 inch):iPad6,4:600
iPad (5th generation):iPad6,11:500
iPad (5th generation):iPad6,12:500
iPad Pro (12.9 inch, 2nd generation):iPad7,1:1000
iPad Pro (12.9 inch, 2nd generation):iPad7,2:1000
iPad Pro (10.5 inch):iPad7,3:900
iPad Pro (10.5 inch):iPad7,4:900
iPad (6th generation):iPad7,5:600
iPad (6th generation):iPad7,6:600
iPad mini:iPad2,5:300
iPad mini:iPad2,6:300
iPad mini:iPad2,7:300
iPad mini 2:iPad4,4:400
iPad mini 2:iPad4,5:400
iPad mini 2:iPad4,6:400
iPad mini 3:iPad4,7:450
iPad mini 3:iPad4,8:450
iPad mini 3:iPad4,9:450
iPad mini 4:iPad5,1:500
iPad mini 4:iPad5,2:500
iPhone:iPhone1,1 :50
iPhone 3G:iPhone1,2:100
iPhone 3GS:iPhone2,1:150
iPhone 4:iPhone3,1:200
iPhone 4:iPhone3,2:200
iPhone 4:iPhone3,3:200
iPhone 4S:iPhone4,1:250
iPhone 5:iPhone5,1:300
iPhone 5:iPhone5,2:300
iPhone 5c:iPhone5,3:310
iPhone 5c:iPhone5,4:310
iPhone 5s:iPhone6,1:310
iPhone 5s:iPhone6,2:310
iPhone 6:iPhone7,2:350
iPhone 6 Plus:iPhone7,1:400
iPhone 6s:iPhone8,1:420
iPhone 6s Plus:iPhone8,2:420
iPhone SE:iPhone8,4:200
iPhone 7:iPhone9,1:450
iPhone 7:iPhone9,3:450
iPhone 7 Plus:iPhone9,2:500
iPhone 7 Plus:iPhone9,4:500
iPhone 8:iPhone10,1:600
iPhone 8:iPhone10,4:600
iPhone 8 Plus:iPhone10,2:650
iPhone 8 Plus:iPhone10,5:650
iPhone X:iPhone10,3:1000
iPhone X:iPhone10,6:1000
iPod touch:iPod1,1:50
iPod touch (2nd generation):iPod2,1:100
iPod touch (3rd generation):iPod3,1:110
iPod touch (4th generation):iPod4,1:120
iPod touch (5th generation):iPod5,1:150
iPod touch (6th generation):iPod7,1:200
iPhone XS:iPhone10,8:1200
iPhone XR:iPhone10,2:600
iPhone 11:iPhone11:700
iPhone 11 pro max:iPhone11,2:1300
iPhone 12:iPhone12:800
iPhone 12 pro max:iPhone12,2:1500
